gene,n_groups,F,pval,qval
2810004N23Rik,3,82.27169638888529,4.631112524683025e-35,1.3632760607555198e-34
Gnpat,3,99.45128589627721,6.71197029876228e-42,2.3647086110379246e-41
Exoc8,3,3.770970723171394,0.02319385723596927,0.024319036616761172
Sprtn,3,30.878037644273416,6.208852640897041e-14,9.739533353819963e-14
Egln1,3,50.72563261491884,3.246822635854288e-22,6.672078208203603e-22
Tsnax,3,152.0245309358574,3.5035474516262035e-62,2.009799691074043e-61
Disc1,3,8.10462436214334,0.00031218660249070934,0.0003491014296268
Sipa1l2,3,28.189835936503037,8.451686876442573e-13,1.273498924892892e-12
Ntpcr,3,2.473560428605084,0.08454243909805462,0.08722575815533523
Pcnx2,3,849.7362995683247,9.810423644449945e-268,1.0134666459817358e-265
Kcnk1,3,17.748857503486363,2.2881097543206335e-08,2.958427864358138e-08
Slc35f3,3,290.0160273532899,2.6567879843878337e-111,3.63481992476854e-110
Coa6,3,16.976119794786094,4.8903145952757364e-08,6.251356429992787e-08
Tarbp1,3,71.4111407720131,1.1100918208962181e-30,2.901376350069661e-30
Irf2bp2,3,17.175331840780334,4.020451092070054e-08,5.151282195956901e-08
Tomm20,3,90.8641862336763,1.7049567574164504e-38,5.524567483494559e-38
Rbm34,3,53.31269777713067,2.7768043659191133e-23,5.895027032489375e-23
Pard3,3,27.784584566204327,1.2535545316894834e-12,1.8797920705246403e-12
Nrp1,3,251.66199238552463,3.374467572266501e-98,3.8158404179896707e-97
Itgb1,3,14.302365462103184,6.801851836091292e-07,8.34150642675582e-07
Ccdc7a,3,9.222592218826692,0.00010305366463738578,0.0001171632318531741
Ccdc7b,3,34.62362767744281,1.6518914742114164e-15,2.742279323251691e-15
2610044O15Rik8,3,42.71675130178743,6.826723504403458e-19,1.269787131184637e-18
Ube2e2,3,271.0877521087157,6.947317096712429e-105,8.659283784143611e-104
Ube2e1,3,74.45243415201148,6.523016005773893e-32,1.7623130565244624e-31
Nkiras1,3,66.66960279427393,9.362912292011692e-29,2.321210104527609e-28
Rpl15,3,69.21246792578872,8.657937844967457e-30,2.2084172908590353e-29
Nr1d2,3,11.522452791760601,1.0580724153099261e-05,1.2436508285245396e-05
Thrb,3,379.5579090575294,1.9520023222231323e-140,4.033035306423726e-139
Rarb,3,9.567432093968032,7.323140705567074e-05,8.364794340410666e-05
Top2b,3,33.33713126428217,5.732072450697101e-15,9.338941883720619e-15
Ngly1,3,22.842599358297406,1.5536669304503417e-10,2.1716775464040436e-10
Oxsm,3,4.646953738083075,0.009694720097141805,0.010287137707534698
Nek10,3,257.30784228958396,3.751812007275351e-100,4.38070769815005e-99
Slc4a7,3,304.65350993057547,3.35708526277326e-116,4.924533014826238e-115
Psmd6,3,50.36597069345107,4.572267852794586e-22,9.34226368179115e-22
Atxn7,3,65.18672455634179,3.762952100451214e-28,9.17407722090006e-28
Thoc7,3,146.28274401602667,5.17675116356831e-60,2.8298025418788203e-59
Synpr,3,71.8373923328528,7.458136735234268e-31,1.9597906187218308e-30
Cadps,3,827.7859793138466,1.4880423808217876e-262,1.4991104646460819e-260
Gm49355,3,7.429179864307883,0.0006102277070451909,0.0006754449967203194
3830406C13Rik,3,42.71605573528531,6.83127865659331e-19,1.270378136138405e-18
Fhit,3,47.075487017793215,1.053628021468517e-20,2.0695658365615892e-20
Cfap20dc,3,125.96774018740473,3.009311267967453e-52,1.3749439413989223e-51
Fam107a,3,52.65699823198222,5.1756208075293044e-23,1.088899165408737e-22
Acox2,3,52.4035410446013,6.584699808055068e-23,1.382254015157418e-22
Kctd6,3,92.79283861509319,2.915102410607355e-39,9.637943690074222e-39
Pdhb,3,63.00148379917909,2.9330700733673837e-27,6.970973716971809e-27
Pxk,3,79.07339458814309,8.93012065616775e-34,2.5428210884999974e-33
Rpp14,3,7.065396743201558,0.0008756740454308061,0.0009634864711437428
Abhd6,3,187.15552225877852,3.1729008580149685e-75,2.417353841200154e-74
Flnb,3,324.44502799725734,9.762507212787362e-123,1.5495437880713273e-121
Nid2,3,146.8024887167923,3.2902051470248595e-60,1.8058352427840177e-59
Rtraf,3,42.47501724418215,8.607969632446476e-19,1.5957568464280024e-18
Gng2,3,607.7942100247187,6.80284882172937e-207,3.4552802973700427e-205
Saysd1,3,28.377344247977543,7.042919662193808e-13,1.0642517749118944e-12
Nudt13,3,23.486561400681936,8.279989653092622e-11,1.168342098289143e-10
Ecd,3,87.10887462093946,5.360092067194212e-37,1.668101156474277e-36
Fam149b,3,88.9776902058475,9.62324507032879e-38,3.060458059152308e-37
Dnajc9,3,14.522663663113224,5.47411860772688e-07,6.743760063485667e-07
Mrps16,3,18.87416856899542,7.578122001427964e-09,9.977028534118899e-09
Cfap70,3,162.47689951155178,4.1947299032586753e-66,2.619557250037052e-65
Anxa7,3,92.52936678902884,3.709892213469397e-39,1.2219288322667373e-38
Mss51,3,6.941479732436476,0.0009903395292945912,0.0010873931599802798
Ppp3cb,3,146.78948137380763,3.3277289382133394e-60,1.824787033595169e-59
Usp54,3,1.9429435315569574,0.14355233162978054,0.1470136035089494
Sec24c,3,33.35983089285329,5.6075345794657856e-15,9.139704041140249e-15
Fut11,3,12.69315062292986,3.327967320664468e-06,3.97802722483819e-06
Chchd1,3,11.383505760180894,1.2138779274038508e-05,1.4233524370000906e-05
Zswim8,3,114.05893621601346,1.2459633049890457e-47,5.091616724041725e-47
Ndst2,3,11.18466077470374,1.477635355010775e-05,1.7269774666904453e-05
Camk2g,3,19.523503004271262,4.007552137769863e-09,5.339606575518048e-09
Vcl,3,18.705908082072895,8.938948936513388e-09,1.1729363566856642e-08
Ap3m1,3,20.802086809071472,1.1444270974433976e-09,1.551269467122764e-09
Adk,3,1.4195131530320253,0.2420756287872953,0.24625735749955183
Kat6b,3,173.76362779734413,2.6748217036212793e-70,1.839034211344805e-69
Samd8,3,98.39686553887212,1.7518638015673255e-41,6.106725690908121e-41
Vdac2,3,32.034796912552814,2.0229278642953252e-14,3.225993022731556e-14
Comtd1,3,5.478824970087891,0.004237217727852875,0.004551611218058384
Lrmda,3,97.32895305808619,4.633300312631691e-41,1.5999980399711138e-40
Kcnma1,3,996.5736590432501,6.91911952274417e-301,9.807449649099003e-299
Dlg5,3,92.66693484512159,3.271045784668082e-39,1.0794273988929053e-38
Polr3a,3,138.88597849137884,3.3499542061602844e-57,1.7332742688070401e-56
Rps24,3,15.076997457256903,3.1701973327121386e-07,3.9457530616460047e-07
Zmiz1,3,14.152724019243498,7.883201267004181e-07,9.641439093486603e-07
Ppif,3,25.426044318152595,1.246982178068355e-11,1.8074569263559152e-11
Zcchc24,3,99.89978888096365,4.4642346021117936e-42,1.5782778364194538e-41
Anxa11,3,143.68281697711342,5.012197713715705e-59,2.6951341036698033e-58
Plac9a,3,13.779231821026816,1.1393856610670327e-06,1.3837910937936764e-06
Tmem254a,3,64.94971261474784,4.700719262573843e-28,1.1416969079652351e-27
Slmap,3,135.54982694095946,6.293013464300382e-56,3.1516776552925907e-55
Dennd6a,3,96.95144502145396,6.535882287699045e-41,2.246191290866968e-40
Arf4,3,48.21195627893411,3.561253325591497e-21,7.088778255872036e-21
Pde12,3,16.73902006511058,6.174450532196202e-08,7.865665376473164e-08
Dnah12,3,17.877413007038957,2.0166218453673017e-08,2.6135041776554762e-08
Asb14,3,27.643429193965634,1.4381052691383669e-12,2.1520382065795105e-12
Appl1,3,206.04411153187934,4.441935730976534e-82,3.8131828563805597e-81
Il17rd,3,0.502768114415429,0.6049305752826928,0.6094804291839016
Arhgef3,3,133.51453921322272,3.78286018588844e-55,1.8564036097415494e-54
Tasor,3,53.83031251998976,1.6990052957178768e-23,3.6283942807990395e-23
Ccdc66,3,58.651989199808945,1.7693833080547603e-25,3.9934794529138176e-25
Erc2,3,1199.9118316310178,0.0,0.0
Cacna2d3,3,1093.4066628796215,1.937e-321,3.6889e-319
Lrtm1,3,470.7618972970791,3.165773518387851e-168,9.745146259885835e-167
Selenok,3,15.43170454335275,2.2354088904733095e-07,2.7977037345862054e-07
Actr8,3,83.1004780758147,2.1541545055469516e-35,6.404669127467644e-35
Il17rb,3,7.6217763149558015,0.0005040504821163472,0.0005595970288705167
Chdh,3,285.46809613856686,9.070805903021649e-110,1.217765682354999e-108
Cacna1d,3,489.0677737572021,1.3520753263687633e-173,4.591030147196441e-172
Dcp1a,3,74.66480040736715,5.353370131177036e-32,1.4501684866455127e-31
Tkt,3,29.01644067450371,3.783996994885268e-13,5.775250202535548e-13
Prkcd,3,31.319838838811847,4.0451534317631356e-14,6.395644660595671e-14
Rft1,3,21.346814978880083,6.712829325979905e-10,9.178843464239488e-10
Sfmbt1,3,109.34027441974054,8.681872228315622e-46,3.38770878563276e-45
Stimate,3,114.64277911068838,7.379042320061301e-48,3.0296573217092375e-47
Nek4,3,68.73346702385254,1.355191198405334e-29,3.4351800184156833e-29
Spcs1,3,13.810634873200382,1.1046340599696738e-06,1.3425213550379186e-06
Glt8d1,3,108.02738000675009,2.8367805092031833e-45,1.0901751074144644e-44
Gnl3,3,194.62024636020192,6.023626075242908e-78,4.840342904232765e-77
Pbrm1,3,122.87508585306364,4.707285330748381e-51,2.0957563251213576e-50
Smim4,3,60.47347210675198,3.1717124472211563e-26,7.314259313587948e-26
