gene,n_groups,F,pval,qval
Borcs8,2,110.08857239938466,1.2276888173441843e-25,1.7506744588288264e-25
Mef2b,2,3.66952348537342,0.05544113042962865,0.05824534537943354
Tmem161a,2,167.7052856813744,4.365590242684417e-38,7.096957618073853e-38
Slc25a42,2,770.9952603693072,3.1279673713579804e-164,1.2612142704816504e-163
Armc6,2,352.4241697105277,1.863221174675586e-77,4.267407930668211e-77
Sugp2,2,1213.6281297609899,1.019343447759886e-252,6.38393794115735e-252
Homer3,2,180.63279075068886,7.237797454455072e-41,1.2069511492918942e-40
Ddx49,2,211.3215390459985,1.886301163975981e-47,3.3472913143631255e-47
Cope,2,255.526231146331,6.762185100680089e-57,1.3086981394449114e-56
Cers1,2,658.9281064517278,2.6306028435631394e-141,9.288824805552816e-141
Upf1,2,146.46832209034505,1.6491453534378128e-33,2.5649176186282628e-33
Comp,2,62.818841410193556,2.4780499208371097e-15,3.1530376662281094e-15
Crtc1,2,1734.3107231733247,0.0,0.0
Klhl26,2,329.73343972934657,1.1685741492570496e-72,2.577352044732548e-72
Tmem59l,2,1411.6470779948975,2.7374761500123795e-291,2.0013926814729906e-290
Rex1bd,2,67.36815245990384,2.4958189918679624e-16,3.2111389643430955e-16
Uba52,2,282.85888321346073,1.0257024680836673e-62,2.088926885524518e-62
Kxd1,2,103.8259942174289,2.809719533261823e-24,3.9445256448768715e-24
Fkbp8,2,361.6465574195455,2.1053847828243072e-79,4.892156498440881e-79
Ell,2,304.9734632416051,2.0621600147142908e-67,4.3660195822753934e-67
Isyna1,2,7.443619048274377,0.006375974330258696,0.006845655651457013
Ssbp4,2,803.1065645090592,9.255408188838578e-171,3.8554267046054346e-170
Pgpep1,2,12.526548777262573,0.00040281548563821746,0.00044302854480686145
Lsm4,2,77.71347743502609,1.3645966616152104e-18,1.8014267299690008e-18
Jund,2,211.76086594377466,1.5188672485722232e-47,2.696326804051892e-47
Pde4c,2,30.153620276246468,4.0773707044793174e-08,4.768986021150943e-08
Rab3a,2,2365.500419628735,0.0,0.0
Mpv17l2,2,24.986324472151868,5.860034192140538e-07,6.7488515867772e-07
Ifi30,2,19.459882620968642,1.0368183280345012e-05,1.1702650742019663e-05
Pik3r2,2,231.83456666902364,7.709465390810434e-52,1.423285918303465e-51
Mast3,2,344.3576212160207,9.431139968336163e-76,2.1309481924464146e-75
Il12rb1,2,0.8105815623434077,0.3679674744044513,0.37599444654054964
Arrdc2,2,26.44225278194446,2.7606052397799455e-07,3.196118774155866e-07
Kcnn1,2,112.7428582500989,3.26052571153246e-26,4.676484137414945e-26
Ccdc124,2,268.04452480541846,1.4554585686789433e-59,2.8699302071323505e-59
Slc5a5,2,65.23347436323948,7.325119008345688e-16,9.388980619868638e-16
Rpl18a,2,7.348002729418615,0.0067238276222965285,0.007215711362085325
Map1s,2,415.6158778259096,9.184619543206637e-91,2.3438638338327814e-90
Haus8,2,43.65716944583896,4.087528298116178e-11,4.953607315693654e-11
Myo9b,2,888.330154768537,5.291213004579961e-188,2.4282377518315605e-187
Use1,2,104.9419238400464,1.608025627578428e-24,2.2652100098543362e-24
Ocel1,2,311.60699882024244,8.080722416694589e-69,1.7330049464537307e-68
Nr2f6,2,41.00802652978704,1.5759486115584158e-10,1.8970036277722215e-10
Ushbp1,2,0.9352728683555367,0.3335171228617507,0.34130605672397335
Babam1,2,295.30788323389584,2.3219753592043444e-65,4.828798726183683e-65
Abhd8,2,731.4627409278186,3.6082565305087047e-156,1.3984181657754707e-155
Mrpl34,2,61.99572048321341,3.755208728057585e-15,4.7678059035362406e-15
